overall_place,car_number,team_name,acceleration_score,skidpad_score,autocross_score,source_page
1,1,Oregon State Univ,81.8,67.7,124.4,1
2,8,Rochester Institute of Technology,95.1,75.0,125.0,1
3,6,Univ of Pittsburgh - Pittsburgh,83.4,56.1,117.0,1
4,46,Carnegie Mellon Univ,93.7,55.0,109.4,1
5,103,Univ of Connecticut,52.9,65.1,118.2,1
6,38,Univ of Wisconsin - Madison,100.0,56.6,121.6,1
7,62,California Polytechnic State Univ-SLO,45.8,45.5,101.6,1
8,30,Kookmin Univ,47.1,52.6,106.1,1
9,19,Cornell Univ,89.4,24.9,97.7,1
10,65,Univ of Michigan - Ann Arbor,57.3,50.5,101.4,1
11,99,Ecole de Technologie Superieure,98.6,56.3,115.0,1
12,98,Texas A&M Univ,66.9,43.9,118.8,1
13,14,Univ of Akron,93.8,42.1,49.3,1
14,5,Univ of Washington,90.8,69.4,107.8,1
16,111,Auburn Univ,79.1,51.6,94.2,1
17,26,Western Washington Univ,31.4,24.0,78.2,1
18,21,Univ of Kansas - Lawrence,55.6,51.8,102.2,1
19,43,Concordia University,47.8,45.8,81.8,1
20,9,Massachusetts Inst of Tech,75.1,51.1,99.9,1
21,86,Rensselaer Polytechnic Inst,4.5,21.8,64.7,1
24,93,Univ of Calgary,50.4,24.2,70.2,1
25,79,Univ of Maryland - College Park,66.5,29.6,74.4,1
26,66,Univ of Calif - Los Angeles,4.5,35.3,65.3,1
27,35,Univ of North Carolina - Charlotte,24.8,31.1,37.9,1
29,108,Univ of New Mexico,50.7,3.5,6.5,2
30,104,Univ of Calif - Santa Barbara,39.5,5.4,51.5,2
32,56,Louisiana State Univ,25.4,20.2,36.7,2
37,51,Univ of Southern California,4.5,39.6,60.7,2
42,110,Universite Laval,4.5,16.6,61.5,2
49,68,Univ of Alberta,4.5,3.5,46.3,2
58,73,Missouri University of Science and Tech,4.5,3.5,6.5,3
