year,series,team,total,cost,presentation,design,acceleration,skidpad,autocross,endurance,efficiency
2023,5th,Univ of Toronto,716.5,79.9,70.2,90.0,55.6,42.9,83.7,201.0,93.2
2023,6th,Kennesaw State University,622.4,99.0,73.5,70.0,0.0,20.9,79.2,190.8,89.0
2023,7th,Univ of Minnesota - Twin Cities,611.2,89.2,40.4,80.0,21.6,3.5,71.7,211.6,93.3
2023,8th,Virginia Tech,588.4,35.2,45.7,90.0,41.4,12.7,69.3,205.2,88.9
2023,9th,Univ of Texas - Arlington,575.8,65.6,27.8,90.0,0.0,40.1,105.3,147.2,100.0
2023,10th,Georgia Institute of Technology,545.1,81.6,54.7,125.0,100.0,75.0,108.7,0.0,0.0
2024,5th,San Jose State University,724.3,95.2,60.7,125.0,49.4,47.0,106.0,261.0,0.0
2024,6th,Cornell Univ,711.9,76.0,69.2,95.0,59.1,63.9,98.8,149.9,100.0
2024,7th,Univ of Illinois - Urbana Champaign,700.0,74.4,69.2,135.0,9.4,40.7,116.4,209.0,45.9
2024,8th,Univ of Washington,687.6,65.4,72.4,80.0,4.5,63.6,97.2,275.0,29.4
2024,9th,Univ of Pittsburgh - Pittsburgh,682.7,75.8,45.6,125.0,62.5,22.4,79.8,231.6,40.1
2024,10th,Univ of Toronto,682.7,67.3,49.4,130.0,53.0,40.6,86.8,203.8,51.8
2025,5th,Univ of Washington,753.5,76.8,59.7,105.0,95.6,63.6,125.0,166.7,61.2
2025,6th,Univ of Pittsburgh - Pittsburgh,723.4,81.3,67.9,100.0,58.7,45.4,102.9,195.0,72.2
2025,7th,National Univ of Singapore,708.6,73.4,64.3,125.0,69.8,64.3,113.1,127.4,71.3
2025,8th,Rochester Institute of Technology,701.7,72.1,75.0,100.0,99.9,74.4,43.2,166.1,71.0
2025,9th,Massachusetts Inst of Tech,597.6,72.2,58.5,110.0,69.5,45.3,106.5,72.1,63.6
2025,10th,Purdue Univ - W Lafayette,593.0,86.4,17.3,105.0,24.8,54.7,108.2,140.5,56.0
2026,5th,Univ of Connecticut,756.8,91.8,70.6,90.0,52.9,65.1,118.2,202.2,66.1
2026,6th,Univ of Wisconsin - Madison,743.9,84.2,15.0,150.0,100.0,56.6,121.6,158.1,58.4
2026,7th,California Polytechnic State Univ-SLO,717.5,84.1,37.4,120.0,45.8,45.5,101.6,227.3,55.8
2026,8th,Kookmin Univ,696.0,63.4,33.7,132.0,47.1,52.6,106.1,218.1,43.0
2026,9th,Cornell Univ,681.3,83.1,19.1,138.0,89.4,24.9,97.7,186.8,42.2
2026,10th,Univ of Michigan - Ann Arbor,671.3,85.0,70.7,115.0,57.3,50.5,101.4,151.3,40.1
2026,Maryland,Univ of Maryland - College Park,364.8,69.5,18.8,100.0,66.5,29.6,74.4,6.0,0.0
